datetime,returns,NeweyWest_pval,Bootstrap_pval,BlockBootstrap_pval,Bayesian_pval,rolling_mean
2022-05-03,0.0105546955098781,0.020425961289120664,0.023809523809523808,0.06349206349206349,0.023119234987472793,0.0009853931961655619
2022-05-04,-0.014487164494934,0.014097815256279289,0.007936507936507936,0.0,0.016547250820073304,0.0008542118524749842
2022-05-05,0.0047153618742037,0.02898041765977355,0.023809523809523808,0.031746031746031744,0.03707260294395912,0.0008815848472536634
2022-05-06,0.0025670338801483,0.024522915503388254,0.047619047619047616,0.007936507936507936,0.0329424266333502,0.0008993166845542031
2022-05-07,0.0024630474705387,0.022234861418949037,0.047619047619047616,0.0,0.03035844219527309,0.0009190848120092223
2022-05-08,0.0021044503166001,0.02007416398561712,0.007936507936507936,0.0,0.02765888004024843,0.0009324260207692405
2022-05-09,-0.0061917262590769,0.018779001667998396,0.007936507936507936,0.015873015873015872,0.025954686115067932,0.0008372035384054858
2022-05-10,-0.0050750712429478,0.030421106743115156,0.031746031746031744,0.031746031746031744,0.04100199386625012,0.0007936282345458174
2022-05-11,0.0679263441479432,0.039670997129564234,0.031746031746031744,0.0,0.050408315178727715,0.0013113085348006677
2022-05-12,0.0251563239440184,0.021453930077118044,0.031746031746031744,0.031746031746031744,0.034188964807178146,0.0015093129121275784
2022-05-13,0.0,0.02545007936025756,0.007936507936507936,0.031746031746031744,0.021234551343628425,0.0015093129121275784
2022-05-14,0.0,0.02439298023136338,0.007936507936507936,0.007936507936507936,0.021234551343628425,0.0015093129121275784
2022-05-15,0.0002400361500047,0.02365247954752836,0.007936507936507936,0.031746031746031744,0.021234551343628425,0.0015112179609371396
2022-05-16,0.0114825458167571,0.023172356219805734,0.0,0.0,0.021100503057722764,0.0016023492769431484
2022-05-17,0.0,0.018026761681836256,0.007936507936507936,0.0,0.01608618694583088,0.0015836584916851157
2022-05-18,0.0066277455314042,0.0190524994175586,0.007936507936507936,0.0,0.017128284025308905,0.0016362596466962603
2022-05-19,0.0090408261393695,0.016361885894504935,0.0,0.007936507936507936,0.01446061280949878,0.0016891199850948232
2022-05-20,-0.0004571201598658,0.014405698951689527,0.0,0.007936507936507936,0.012279092661196114,0.0016728302383078222
2022-05-21,-0.0111329223582787,0.015019881094417653,0.0,0.007936507936507936,0.013006125296248816,0.0015815004648489523
2022-05-22,0.0010116849325817,0.020340273272786535,0.015873015873015872,0.007936507936507936,0.01850400530664288,0.0015790199170864184
2022-05-23,-0.0005300064838861,0.02053468948318027,0.0,0.007936507936507936,0.0186541280587224,0.0016032741053756533
2022-05-24,-0.000256462180965,0.019169339047588663,0.015873015873015872,0.0,0.017131235019393454,0.0015982663079788255
2022-05-25,0.0097943968438607,0.019688594843701446,0.007936507936507936,0.007936507936507936,0.017423598510627553,0.0016746195273790372
2022-05-26,-0.0213429144678864,0.01543068391119884,0.0,0.0,0.013793954508248574,0.001438345998104315
2022-05-27,0.0,0.03331274089238967,0.015873015873015872,0.0,0.03255380513554415,0.0013891997475410016
2022-05-28,0.001799838688903,0.0379729884114699,0.03968253968253968,0.0,0.03725775613279179,0.0013968969851340127
2022-05-29,0.0104300320911576,0.0371960776045982,0.015873015873015872,0.015873015873015872,0.03646001676115556,0.0014641199995470706
2022-05-30,0.0085741814679319,0.030216120239409006,0.031746031746031744,0.015873015873015872,0.030621024045349318,0.0014859536427026308
2022-05-31,0.0029574865736981,0.027755181695452547,0.023809523809523808,0.007936507936507936,0.028943023091151918,0.0013283572732105666
2022-06-01,0.0,0.0391980611745425,0.03968253968253968,0.031746031746031744,0.04120618352427902,0.0013033192518534143
2022-06-02,-0.00171157284092,0.041845813131729415,0.031746031746031744,0.047619047619047616,0.04416512804486585,0.0012743032532797104
2022-06-03,0.0006262574353287,0.045229337820502535,0.03968253968253968,0.007936507936507936,0.04790106002270284,0.0012737121828167992
2022-06-04,-0.0041917762054168,0.045316755108498086,0.023809523809523808,0.06349206349206349,0.04797892221402848,0.0012147550044898832
2022-06-05,0.0026190468404035,0.0538901064778331,0.031746031746031744,0.031746031746031744,0.05642439809284827,0.0012446655622999619
2022-06-06,-0.000222289189671,0.04948143651792414,0.047619047619047616,0.023809523809523808,0.0520935115285574,0.0012333370539122294
2022-06-07,0.0048354939109635,0.051141167535559195,0.047619047619047616,0.0,0.05370873347173926,0.0012657988209121367
2022-06-08,0.0206866613234839,0.0466879477990918,0.06349206349206349,0.0,0.04935315106338566,0.001412908457427924
2022-06-09,0.0031135460468678,0.03373973007949238,0.015873015873015872,0.015873015873015872,0.035385613479481305,0.001437619140339573
2022-06-10,0.0067655230555895,0.03159026944782428,0.007936507936507936,0.023809523809523808,0.03299684812981649,0.00149393680952713
2022-06-11,0.0,0.027613463934386795,0.023809523809523808,0.031746031746031744,0.028193931655918995,0.0016025799185019206
2022-06-12,0.0017616868938229,0.019289451526182,0.007936507936507936,0.023809523809523808,0.019152293632690782,0.0016165615605163882
2022-06-13,0.0045935591978537,0.0186390938308173,0.007936507936507936,0.0,0.018311661869425042,0.0016704523243196241
2022-06-14,0.0,0.01641235051589196,0.007936507936507936,0.015873015873015872,0.015374609659640201,0.0014969199375839438
2022-06-15,-0.0001185372047601,0.024049384295409926,0.023809523809523808,0.031746031746031744,0.02388975658498641,0.0014613655611023448
