datetime,Mean_Returns_10,Sharpe_Ratio_10,Sortino_Ratio_10,Calmar_Ratio_10,Skewness_10,Kurtosis_10,Hurst_Returns_10,ACF_Lag_1_10,Mean_Returns_1_10,Sharpe_Ratio_1_10,ACF_Lag_3_10,Mean_Returns_3_10,Sharpe_Ratio_3_10,ACF_Lag_5_10,Mean_Returns_5_10,Sharpe_Ratio_5_10,ACF_Lag_7_10,Mean_Returns_7_10,Sharpe_Ratio_7_10,ACF_Lag_9_10,Mean_Returns_9_10,Sharpe_Ratio_9_10,Jarque-Bera_statistic,Jarque-Bera_pvalue,VaR_95_10,CVaR_95_10,Omega_Ratio_10,Mean_Returns_1,Mean_Returns_5,Mean_Returns_30,Sharpe_Ratio_30,Sortino_Ratio_30,Calmar_Ratio_30,Skewness_30,Kurtosis_30,Hurst_Returns_30,ACF_Lag_1_30,Mean_Returns_1_30,Sharpe_Ratio_1_30,ACF_Lag_3_30,Mean_Returns_3_30,Sharpe_Ratio_3_30,ACF_Lag_5_30,Mean_Returns_5_30,Sharpe_Ratio_5_30,ACF_Lag_7_30,Mean_Returns_7_30,Sharpe_Ratio_7_30,ACF_Lag_9_30,Mean_Returns_9_30,Sharpe_Ratio_9_30,VaR_95_30,CVaR_95_30,Omega_Ratio_30,Cumulative_Returns,Log_Returns,Volatility_of_Volatility_30,Max_Drawdown_Duration_30
2023-09-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013740359999999,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013740359999998564,-0.0013749808530717704,,
2023-09-03 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000939758,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00043556926132326534,0.0009393167039033371,,
2023-09-04 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.554659999995604e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0004910916669317311,-5.554814276947248e-05,,
2023-09-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001603969,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0020942729711218577,-0.0016052567354525617,,
2023-09-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.807170000002529e-05,-0.0004011443799999662,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0020063857173027166,8.806782191555283e-05,,
2023-09-07 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0015686889999999,-0.0004400749799999662,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0035719273220981007,-0.001569920680840521,,
2023-09-08 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006766649999999,-0.0007633595799999462,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004246175323896595,-0.0006768940410895209,,
2023-09-09 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.722829999998957e-05,-0.0007408045999999571,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0041891900252919445,5.722666252330217e-05,,
2023-09-10 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00329106,0.00023820120000004295,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0009119169010165518,0.0032856563146940756,,
2023-09-11 03:00:00,0.0003804595400000259,3.4556316568394467,,,1.2521031178487996,0.8241129143928652,,0.5963171640527858,,,-0.15929985007818528,,,-0.08829380339068985,,,0.7352306968510938,,,,,,,,-0.001588092999999955,-0.001603969,1.7207166629251411,0.0047073829999999,0.001162063460000018,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037911733568660733,0.004696337921359211,,
