datetime,Mean_Returns_10,Sharpe_Ratio_10,Sortino_Ratio_10,Calmar_Ratio_10,Skewness_10,Kurtosis_10,Hurst_Returns_10,ACF_Lag_1_10,ACF_Lag_2_10,ACF_Lag_3_10,ACF_Lag_4_10,ACF_Lag_5_10,ACF_Lag_6_10,ACF_Lag_7_10,ACF_Lag_8_10,ACF_Lag_9_10,ACF_Lag_10_10,Jarque-Bera_statistic,Jarque-Bera_pvalue,VaR_95_10,CVaR_95_10,Omega_Ratio_10,Mean_Returns_30,Sharpe_Ratio_30,Sortino_Ratio_30,Calmar_Ratio_30,Skewness_30,Kurtosis_30,Hurst_Returns_30,ACF_Lag_1_30,ACF_Lag_2_30,ACF_Lag_3_30,ACF_Lag_4_30,ACF_Lag_5_30,ACF_Lag_6_30,ACF_Lag_7_30,ACF_Lag_8_30,ACF_Lag_9_30,ACF_Lag_10_30,VaR_95_30,CVaR_95_30,Omega_Ratio_30,Cumulative_Returns,Log_Returns,Volatility_of_Volatility_30,Max_Drawdown_Duration_30
2022-07-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016700000000000603,0.0016686071005458302,,
2022-07-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015688313299999646,-0.00010100510084347743,,
2022-07-03 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013835410962039774,-0.00018501711461082527,,
2022-07-04 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010681052807586244,-0.0003150496229210412,,
2022-07-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003610818268171778,0.002536779651969968,,
2022-07-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033860094448796563,-0.00022402509174710615,,
2022-07-07 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032925942074004677,-9.310433407396071e-05,,
2022-07-08 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000393078610141151,-0.002894184113336092,,
2022-07-09 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001376465006414973,0.0009825171718874067,,
2022-07-10 03:00:00,0.00020589000000000002,2.261898614731072,,,-0.62523806338161,2.003661892379278,,-0.19540021264950452,-0.13649906700094175,-0.7623545670719309,0.6337154921611173,0.3380039267186469,0.019436382620610877,-0.9937407700825037,1.0,,,,,-0.0017312500000000001,-0.00289,1.540663282459408,,,,,,,,,,,,,,,,,,,,,0.002051392743829261,0.0006737729640091742,,
2022-07-11 03:00:00,-0.00020610999999999996,-2.0924995154265384,,-0.0020701759745158643,-0.2745707342835608,0.6520509220226194,,-0.24988612907237126,-0.23845514300041337,-0.05511637784107018,0.5090722704747495,0.4282651288683213,-0.5424882585816697,0.9496485519629255,1.0,,,,,-0.002692,-0.00289,0.6706508257993509,,,,,,,,,,,,,,,,,,,,,-0.0004036331683930916,-0.002453006161066811,,
2022-07-12 03:00:00,-0.00011550999999999996,-1.1486942390576196,,-0.0005829801140790902,-0.43588739642288415,0.4084170019158902,,-0.3132449661751392,-0.19901370047597475,0.015178017378573815,0.04017185614618769,0.3599770930881822,-0.9933779674595659,0.5642165013138292,-1.0,,,,,-0.002692,-0.00289,0.812395432713527,,,,,,,,,,,,,,,,,,,,,0.0004010419069062632,0.0008046761612817365,,
2022-07-13 03:00:00,0.00066699,3.6209796925998226,,0.0033256811688655574,1.4902620685798986,3.520611287346547,,0.0005291107247682028,-0.5302549919137981,0.14551447745823823,0.2577090397444259,-0.6577561491004466,-0.5969919580433534,-0.1731323837239108,1.0,,,,,-0.002692,-0.00289,2.116843285999175,,,,,,,,,,,,,,,,,,,,,0.008044105867075046,0.007610963001335189,,
2022-07-14 03:00:00,0.00074879,4.091847601309961,,0.0037375313088556794,1.4196333877395628,3.4663923293902252,,0.000973250068937935,-0.5279165252451851,0.13315516502942784,0.22548906533379678,-0.6705833146316945,-0.2634451571150892,-0.503947197625269,1.0,,,,,-0.002692,-0.00289,2.323628673284392,,,,,,,,,,,,,,,,,,,,,0.008551152052326039,0.000502873537905099,,
2022-07-15 03:00:00,0.00054009,3.023011055820285,,0.002688894618208537,1.7668780952657364,4.970854379462963,,0.022433403473002884,-0.29659777422384453,0.5431905338641831,0.3517936150617786,-0.816392897763111,0.1907335565735196,0.46900664912988055,-1.0,,,,,-0.002692,-0.00289,1.9547117435662842,,,,,,,,,,,,,,,,,,,,,0.009008025724205782,0.0004528974264760718,,
2022-07-16 03:00:00,0.00056776,3.1856837795498607,,0.002828019799389847,1.745264515493729,4.953176931078095,,0.015428154419299544,-0.3788050793221623,0.11481600120686036,0.27839544410064826,-0.6184099644896358,0.061105454029124234,-0.6400992721406298,1.0,,,,,-0.002692,-0.00289,2.0450018949586446,,,,,,,,,,,,,,,,,,,,,0.0090612004471613,5.2698611403691404e-05,,
2022-07-17 03:00:00,0.00056831,3.188930111672501,,0.0018871904073305412,1.7448425239745402,4.95289156041195,,-0.0163284865283099,-0.37280774627623325,0.11320897473949597,-0.06462125974091426,-0.6480226450114516,0.050419040229732585,-0.9477820249576132,-1.0,,,,,-0.002692,-0.00289,2.0470741755642607,,,,,,,,,,,,,,,,,,,,,0.0089728066860022,-8.7603837104054e-05,,
