datetime,Close,Volume,funding_rate
,ETH-USD,ETH-USD,
2022-06-21,1124.8245849609375,15632089439,5.347666666666667e-05
2022-06-22,1051.421875,15010593493,-5.3733333333333336e-05
2022-06-23,1143.38671875,14657862919,-7.018333333333334e-05
2022-06-24,1226.8447265625,16981552654,7.349666666666667e-05
2022-06-25,1243.4468994140625,12481946184,-4.333333333333312e-07
2022-06-26,1199.8316650390625,12096607824,1.4383333333333335e-05
2022-06-27,1193.6806640625,12492225250,-6.060333333333333e-05
2022-06-28,1144.5792236328125,14023205651,1.6056666666666668e-05
2022-06-29,1098.94384765625,15386286815,2.0156666666666666e-05
2022-06-30,1067.298828125,16350755497,-8.330333333333333e-05
2022-07-01,1059.767333984375,17499453625,-6.079333333333333e-05
2022-07-02,1066.5128173828125,9935603640,-3.085e-05
2022-07-03,1073.7669677734375,8557248150,2.699999999999993e-06
2022-07-04,1151.05908203125,13670889311,1.999999999999999e-06
2022-07-05,1134.541015625,16195518291,1.999999999999999e-06
2022-07-06,1186.9739990234375,15373536703,8.124333333333333e-05
2022-07-07,1237.5933837890625,14230795894,8.963666666666668e-05
2022-07-08,1222.5062255859375,16315929082,8.501666666666667e-05
2022-07-09,1216.978271484375,8821353104,3.6696666666666664e-05
2022-07-10,1168.401611328125,10984558039,7.049333333333334e-05
2022-07-11,1097.236572265625,12064180410,3.729e-05
2022-07-12,1038.191650390625,12583282453,-2.059e-05
2022-07-13,1113.587158203125,18302588147,-0.00016783
2022-07-14,1191.5262451171875,16688640823,-5.558e-05
2022-07-15,1233.129150390625,17411448225,4.738e-05
2022-07-16,1352.62646484375,18364013796,5.383000000000001e-05
2022-07-17,1338.6357421875,16079711737,3.1230000000000004e-05
2022-07-18,1578.7178955078125,27440420623,1.4560000000000001e-05
2022-07-19,1542.9752197265625,27753529276,8.080666666666667e-05
2022-07-20,1520.20068359375,22942708340,1.3763333333333336e-05
2022-07-21,1576.74951171875,20009556587,0.0001
2022-07-22,1537.4051513671875,18926100582,9.772333333333335e-05
2022-07-23,1549.2974853515625,14998811383,7.334666666666667e-05
2022-07-24,1599.4766845703125,17217849557,0.0001
2022-07-25,1445.3834228515625,20585056021,5.433333333333334e-05
2022-07-26,1441.8067626953125,18238563509,7.947e-05
2022-07-27,1636.232666015625,23007524016,4.09e-05
2022-07-28,1725.4681396484375,27231399966,0.0001
2022-07-29,1727.406982421875,23249531113,0.0001
2022-07-30,1695.969482421875,15576977870,8.349666666666667e-05
2022-07-31,1681.517333984375,14200735370,6.653e-05
2022-08-01,1635.19580078125,16191371176,8.702666666666667e-05
2022-08-02,1632.9454345703125,20426082309,4.403333333333334e-05
2022-08-03,1618.87451171875,16786218830,1.403e-05
2022-08-04,1608.205810546875,14467440626,5.3346666666666675e-05
2022-08-05,1732.254638671875,18546491876,5.3346666666666675e-05
2022-08-06,1691.6580810546875,11757911705,0.0001
2022-08-07,1699.350830078125,10252090340,3.507666666666667e-05
2022-08-08,1775.51611328125,16841424404,3.825e-05
2022-08-09,1703.0250244140625,16368619692,-2.892333333333333e-05
2022-08-10,1851.74267578125,23512477984,-1.2043333333333332e-05
2022-08-11,1881.22412109375,23826986482,5.3916666666666665e-05
2022-08-12,1957.2464599609375,17168141904,5.372666666666667e-05
2022-08-13,1981.3365478515625,16038975216,4.8190000000000004e-05
2022-08-14,1936.802001953125,14062754456,3.885e-05
2022-08-15,1904.2281494140625,20349931313,-2.5400000000000004e-05
2022-08-16,1878.139404296875,15637578930,7.666666666666695e-07
2022-08-17,1832.9996337890625,20308508124,5.5289999999999994e-05
2022-08-18,1847.0078125,14999352229,5.075333333333333e-05
2022-08-19,1612.9873046875,25906358731,5.5700000000000005e-05
2022-08-20,1577.0037841796875,18334580263,6.016666666666666e-06
2022-08-21,1619.3189697265625,15849221752,-1.785e-05
2022-08-22,1622.505859375,18557078599,2.920666666666667e-05
2022-08-23,1662.7698974609375,18322041914,-1.5186666666666668e-05
2022-08-24,1657.0592041015625,16780932907,-3.551333333333333e-05
2022-08-25,1696.45703125,14818795695,-2.8199999999999998e-05
2022-08-26,1507.7828369140625,26713710143,5.335e-05
2022-08-27,1491.39501953125,18120831899,-0.00018568
2022-08-28,1430.54736328125,12823572918,-0.00016785666666666664
2022-08-29,1553.037353515625,17965837488,-0.00016169
2022-08-30,1523.8388671875,21835784470,-7.316333333333334e-05
2022-08-31,1553.6849365234375,20591680941,-1.3569999999999999e-05
2022-09-01,1586.1767578125,16434276817,-2.7843333333333335e-05
2022-09-02,1577.220458984375,17708478709,2.3066666666666667e-05
2022-09-03,1556.8726806640625,9516825994,-0.00010727000000000001
2022-09-04,1577.6416015625,8884144998,-3.9573333333333336e-05
2022-09-05,1617.1832275390625,13060541168,-3.9573333333333336e-05
2022-09-06,1561.74853515625,22946059125,-0.00010737000000000001
2022-09-07,1629.9063720703125,19560363854,-0.00020877666666666668
2022-09-08,1635.34765625,17621046717,-2.0213333333333335e-05
2022-09-09,1719.08544921875,20242323690,-8.195e-05
2022-09-10,1776.2037353515625,13130928217,-0.0001389
2022-09-11,1761.800048828125,12464301922,-0.00019952666666666667
2022-09-12,1713.7652587890625,17688391310,-0.0003365133333333333
2022-09-13,1580.7879638671875,23066821734,-0.00041000666666666667
2022-09-14,1634.7550048828125,17897150206,-0.0015526066666666667
2022-09-15,1471.6934814453125,26946275878,-0.00176439
2022-09-16,1432.44775390625,16764804299,2.9963333333333335e-05
2022-09-17,1469.74169921875,10798098671,6.474666666666666e-05
2022-09-18,1335.3291015625,15762284723,5.139e-05
2022-09-19,1377.5413818359375,18712714223,-6.836333333333333e-05
2022-09-20,1324.38818359375,14722317220,-7.533e-05
2022-09-21,1252.6077880859375,20643507800,-4.596666666666666e-05
2022-09-22,1327.68017578125,18461527259,-0.0002023933333333333
2022-09-23,1328.259521484375,18771106339,-3.752333333333333e-05
2022-09-24,1317.9932861328125,12098209717,-7.186666666666666e-06
2022-09-25,1294.216796875,11802651633,-1.2403333333333335e-05
2022-09-26,1335.3201904296875,16034549271,3.014666666666667e-05
2022-09-27,1330.127685546875,17870598937,1.758e-05
2022-09-28,1337.410888671875,18994979566,-3.6463333333333334e-05
2022-09-29,1335.65234375,13796915736,6.051e-05
2022-09-30,1327.9786376953125,14250100093,6.115333333333334e-05
2022-10-01,1311.6444091796875,6227961237,6.719666666666667e-05
2022-10-02,1276.093505859375,7578351650,1.1503333333333334e-05
2022-10-03,1323.439208984375,10153070907,-3.3300000000000003e-06
2022-10-04,1362.1265869140625,10139774963,7.144333333333333e-05
2022-10-05,1352.837158203125,9774451820,-2.8433333333333338e-06
2022-10-06,1351.70947265625,12033514861,-2.8433333333333338e-06
2022-10-07,1332.5169677734375,10061619355,1.9316666666666668e-05
2022-10-08,1315.50048828125,5804676208,7.278666666666667e-05
2022-10-09,1322.604248046875,5486230123,1.8533333333333337e-06
2022-10-10,1291.337646484375,8794491050,3.295e-05
2022-10-11,1279.57568359375,9274845260,5.0299999999999996e-05
2022-10-12,1294.9063720703125,8355638578,2.6566666666666668e-05
2022-10-13,1288.1239013671875,17499038202,-6.728333333333333e-05
2022-10-14,1297.422119140625,13113767755,6.733333333333333e-05
2022-10-15,1274.8717041015625,6798512624,1.533666666666667e-05
2022-10-16,1306.296630859375,7491625206,-1.333333333333334e-06
2022-10-17,1331.713623046875,9401189650,3.318333333333334e-05
2022-10-18,1310.447021484375,10416747806,6.816e-05
2022-10-19,1285.7442626953125,8350692785,6.932000000000001e-05
2022-10-20,1283.200927734375,9009111996,6.5099999999999995e-06
2022-10-21,1299.9464111328125,10412565245,4.844666666666667e-05
2022-10-22,1314.2991943359375,7175324564,-6.513333333333333e-06
2022-10-23,1363.447021484375,9909510925,4.4590000000000005e-05
2022-10-24,1344.99853515625,13092820173,5.529666666666667e-05
2022-10-25,1461.6654052734375,25367291294,-4.4333333333333304e-07
2022-10-26,1566.566650390625,32705548427,5.849333333333333e-05
2022-10-27,1514.3748779296875,22813499245,3.3113333333333334e-05
2022-10-28,1555.4779052734375,19974623205,2.728e-05
2022-10-29,1619.698486328125,21618154775,8.136666666666666e-05
2022-10-30,1590.7833251953125,13930073427,9.010333333333334e-05
2022-10-31,1572.7144775390625,19306919714,5.34e-05
2022-11-01,1579.70458984375,14507311208,-1.1949999999999997e-05
2022-11-02,1519.7117919921875,23254218281,5.4680000000000005e-05
2022-11-03,1531.541748046875,14248351007,-5.456333333333333e-05
2022-11-04,1645.0933837890625,20806964347,6.897e-05
2022-11-05,1627.968017578125,11006973190,5.496666666666666e-05
