datetime,Close,Volume
,QQQ,QQQ
2022-01-03,393.6659240722656,40575900
2022-01-04,388.55987548828125,58027200
2022-01-05,376.6228942871094,75739800
2022-01-06,376.35821533203125,70814300
2022-01-07,372.2812805175781,72652300
2022-01-10,372.5262451171875,91770500
2022-01-11,378.122314453125,68295700
2022-01-12,379.6217956542969,54576400
2022-01-13,370.1251220703125,77994000
2022-01-14,372.4282531738281,80121200
2022-01-18,363.1570129394531,75450900
2022-01-19,359.168212890625,81791500
2022-01-20,354.5031433105469,88610700
2022-01-21,344.67327880859375,143388900
2022-01-24,346.2510986328125,198685800
2022-01-25,338.22454833984375,124398400
2022-01-26,337.6953125,146559500
2022-01-27,334.2945556640625,95255700
2022-01-28,344.7810363769531,108167900
2022-01-31,355.8066101074219,94326400
2022-02-01,358.2273864746094,74433000
2022-02-02,361.1380920410156,78777100
2022-02-03,346.4961853027344,95384800
2022-02-04,350.8672180175781,86318300
2022-02-07,348.0446472167969,58198100
2022-02-08,351.9550476074219,64720900
2022-02-09,359.4131774902344,55766400
2022-02-10,351.2788391113281,112468500
2022-02-11,340.13568115234375,101569100
2022-02-14,340.5570373535156,80254400
2022-02-15,349.0246887207031,55128800
2022-02-16,348.93646240234375,58947100
2022-02-17,338.5577697753906,61801400
2022-02-18,334.69635009765625,80001500
2022-02-22,331.3348693847656,85967100
2022-02-23,322.8476257324219,86215400
2022-02-24,333.69671630859375,130614100
2022-02-25,338.87139892578125,78842100
2022-02-28,339.88079833984375,77515500
2022-03-01,334.67681884765625,67407000
2022-03-02,340.2925109863281,70609000
2022-03-03,335.4314270019531,71089400
2022-03-04,330.57037353515625,76936300
2022-03-07,318.3785705566406,89933800
2022-03-08,316.89874267578125,116153900
2022-03-09,328.30645751953125,64723400
2022-03-10,324.6606750488281,69362700
2022-03-11,317.92767333984375,66228400
2022-03-14,311.8220520019531,79802600
2022-03-15,321.6029357910156,76471000
2022-03-16,333.5300598144531,105243000
2022-03-17,337.5679016113281,67810000
2022-03-18,344.477294921875,85446300
2022-03-21,343.51953125,73799100
2022-03-22,350.2706298828125,63345900
2022-03-23,345.2367858886719,70615500
2022-03-24,352.9102478027344,53555300
2022-03-25,352.6158752441406,57584200
2022-03-28,358.0717468261719,56833900
2022-03-29,364.2339782714844,68073000
2022-03-30,360.2107849121094,68757700
2022-03-31,355.7460632324219,67011400
2022-04-01,355.0690612792969,54527800
2022-04-04,362.37939453125,45950200
2022-04-05,354.33306884765625,62738700
2022-04-06,346.63995361328125,90077100
2022-04-07,347.4642639160156,63777400
2022-04-08,342.6070251464844,61956100
2022-04-11,334.5018005371094,66107400
2022-04-12,333.0887756347656,72790200
2022-04-13,339.8594970703125,61367800
2022-04-14,332.087890625,73519400
2022-04-18,332.343017578125,58560600
2022-04-19,339.77117919921875,56515700
2022-04-20,334.8157958984375,65500000
2022-04-21,327.8880310058594,75801000
2022-04-22,319.30206298828125,82562100
2022-04-25,323.40374755859375,101755900
2022-04-26,311.1968688964844,105819600
2022-04-27,310.823974609375,111204200
2022-04-28,321.8631286621094,99450000
2022-04-29,307.3797302246094,91977900
2022-05-02,312.5117492675781,115511800
2022-05-03,312.8453369140625,78185500
2022-05-04,323.42333984375,116083400
