datetime,Close,Volume,funding_rate
,BTC-USD,BTC-USD,
2022-01-01,47686.8125,24582667004,0.0001
2022-01-02,47345.21875,27951569547,0.0001
2022-01-03,46458.1171875,33071628362,0.0001
2022-01-04,45897.57421875,42494677905,0.0001
2022-01-05,43569.00390625,36851084859,0.0001
2022-01-06,43160.9296875,30208048289,0.0001
2022-01-07,41557.90234375,84196607520,0.0001
2022-01-08,41733.94140625,28066355845,0.0001
2022-01-09,41911.6015625,21294384372,0.0001
2022-01-10,41821.26171875,32104232331,8.174e-05
2022-01-11,42735.85546875,26327648900,9.131333333333335e-05
2022-01-12,43949.1015625,33499938689,-1.6300000000000007e-06
2022-01-13,42591.5703125,47691135082,-1.1956666666666667e-05
2022-01-14,43099.69921875,23577403399,-5.0776666666666664e-05
2022-01-15,43177.3984375,18371348298,4.9810000000000006e-05
2022-01-16,43113.87890625,17902097845,3.453333333333333e-05
2022-01-17,42250.55078125,21690904261,6.132666666666667e-05
2022-01-18,42375.6328125,22417209227,9.999333333333335e-05
2022-01-19,41744.328125,23091543258,8.324333333333332e-05
2022-01-20,40680.41796875,20382033940,0.0001
2022-01-21,36457.31640625,43011992031,7.583e-05
2022-01-22,35030.25,39714385405,4.357e-05
2022-01-23,36276.8046875,26017975951,2.3903333333333335e-05
2022-01-24,36654.328125,41856658597,4.6979999999999994e-05
2022-01-25,36954.00390625,26428189594,2.7060000000000002e-05
2022-01-26,36852.12109375,31324598034,-1.7863333333333332e-05
2022-01-27,37138.234375,25041426629,-7.536333333333334e-05
2022-01-28,37784.33203125,22238830523,3.184e-05
2022-01-29,38138.1796875,17194183075,3.7233333333333334e-06
2022-01-30,37917.6015625,14643548444,8.392000000000001e-05
2022-01-31,38483.125,20734730465,8.392000000000001e-05
2022-02-01,38743.2734375,20288500328,-1.3809999999999998e-05
2022-02-02,36952.984375,19155189416,3.216e-05
2022-02-03,37154.6015625,18591534769,-2.693666666666667e-05
2022-02-04,41500.875,29412210792,9.636666666666669e-06
2022-02-05,41441.1640625,19652846215,9.152333333333335e-05
2022-02-06,42412.43359375,16142097334,0.0001
2022-02-07,43840.28515625,28641855926,-9.586666666666667e-06
2022-02-08,44118.4453125,33079398868,0.0001
2022-02-09,44338.796875,23245887300,6.387333333333332e-05
2022-02-10,43565.11328125,32142048537,6.067000000000001e-05
2022-02-11,42407.9375,26954925781,-2.9953333333333337e-05
2022-02-12,42244.46875,18152390304,0.0001
2022-02-13,42197.515625,14741589015,7.599333333333332e-05
2022-02-14,42586.91796875,20827783012,6.343e-05
2022-02-15,44575.203125,22721659051,2.5673333333333334e-05
2022-02-16,43961.859375,19792547657,0.0001
2022-02-17,40538.01171875,26246662813,0.0001
2022-02-18,40030.9765625,23310007704,-1.4323333333333334e-05
2022-02-19,40122.15625,13736557863,6.223666666666667e-05
2022-02-20,38431.37890625,18340576452,6.956666666666665e-06
2022-02-21,37075.28125,29280402798,-4.903333333333335e-06
2022-02-22,38286.02734375,25493150450,-1.9883333333333333e-05
2022-02-23,37296.5703125,21849073843,-6.186000000000001e-05
2022-02-24,38332.609375,46383802093,-6.26e-05
2022-02-25,39214.21875,26545599159,5.739333333333333e-05
2022-02-26,39105.1484375,17467554129,8.982e-05
2022-02-27,37709.78515625,23450127612,2.2496666666666664e-05
2022-02-28,43193.234375,35690014104,-0.00011846333333333334
2022-03-01,44354.63671875,32479047645,8.123e-05
2022-03-02,43924.1171875,29183112630,6.497666666666666e-05
2022-03-03,42451.7890625,24967782593,6.497666666666666e-05
2022-03-04,39137.60546875,28516271427,0.0001
2022-03-05,39400.5859375,16975917450,7.218666666666667e-05
2022-03-06,38419.984375,19745229902,1.704e-05
2022-03-07,38062.0390625,28546143503,-3.9473333333333334e-05
2022-03-08,38737.26953125,25776583476,7.792666666666667e-05
2022-03-09,41982.92578125,32284121034,8.925333333333334e-05
2022-03-10,39437.4609375,31078064711,3.120333333333333e-05
