datetime,close,Volume,funding_rate,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-01-01,3769.697021484375,9776191466,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.842582,10.8465805,1.3268243,9.072062,-0.5529591,2.0159037,0.37170574
2022-01-02,3829.56494140625,9881471548,4.284333333333333e-05,0.01575657184191493,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.669064,10.854942,1.325301,9.630098,-0.35728014,2.4830558,0.65139115
2022-01-03,3761.38037109375,12080777893,6.483666666666667e-05,-0.01796519441683337,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.743455,11.607786,2.4613826,10.689901,3.4684646,9.37422,4.6993365
2022-01-04,3794.056640625,14030925983,0.0001,0.008649790399625644,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0330565,9.922425,8.587013,5.239425,10.685941,5.170785,9.5569105
2022-01-05,3550.386962890625,18061338502,0.0001,-0.06637919922310019,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27346876,2.430246,6.6115875,0.12678644,-0.9925051,6.7663417,5.5852466
2022-01-06,3418.408203125,24293791313,6.569333333333333e-05,-0.03788159613599658,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0550765,0.20190378,1.7703128,7.90052,5.7124953,6.6471677,7.250513
2022-01-07,3193.21044921875,24494179209,7.311666666666666e-05,-0.06814818392330264,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0298573,0.17399786,1.7132798,7.965138,5.7989583,6.585737,7.171769
2022-01-08,3091.97265625,16037732700,0.0001,-0.03221753381880831,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5998359,8.334321,10.798179,0.6580486,6.750408,0.8338984,0.29229847
2022-01-09,3157.75146484375,12334683863,2.7453333333333334e-05,0.0210509252603742,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.508583,11.864064,3.150899,10.97585,3.8346133,9.7967615,5.2104135
2022-01-10,3083.097900390625,19535744145,-6.451666666666667e-05,-0.023925309249448398,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46450815,0.5004199,4.7906966,2.7154002,1.1872907,7.7618046,7.704808
