datetime,close,Volume,funding_rate,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-01-01,47686.8125,24582667004,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2715044,-1.6376315,2.834308,10.149855,2.3477347,1.9422987,7.51801
2022-01-02,47345.21875,27951569547,0.0001,-0.007189054400021723,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5965405,0.44371662,9.622339,7.4618354,10.218522,5.4942327,2.8578815
2022-01-03,46458.1171875,33071628362,0.0001,-0.018914636695763702,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.851055,5.4344,10.427451,-0.29831335,1.7676885,5.443609,6.281598
2022-01-04,45897.57421875,42494677905,0.0001,-0.012138934663861074,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.784313,9.668646,1.9307452,4.879692,3.402321,2.2336097,2.1710382
2022-01-05,43569.00390625,36851084859,0.0001,-0.05206628845481275,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.137454,7.338023,7.1557636,0.35696653,0.38982934,2.0713165,4.103931
2022-01-06,43160.9296875,30208048289,0.0001,-0.009410297303589778,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.024959,2.1358974,10.87571,3.508569,8.140174,8.030322,4.974759
2022-01-07,41557.90234375,84196607520,0.0001,-0.037847988650375176,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.672865,11.154447,0.07657666,9.850235,7.075897,7.4870462,6.305689
2022-01-08,41733.94140625,28066355845,0.0001,0.004227048332596754,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.626959,0.48180923,9.663806,7.280074,10.224968,5.717189,2.8988607
2022-01-09,41911.6015625,21294384372,0.0001,0.004247935206112907,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.625586,0.7364608,0.3056519,7.1877723,0.37975815,5.7600408,5.9481173
2022-01-10,41821.26171875,32104232331,8.174e-05,-0.002157811766201214,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91491,3.8131454,10.842188,1.3504484,4.4248605,7.256983,6.521747
2022-01-11,42735.85546875,26327648900,9.131333333333336e-05,0.021633410637439378,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1118646,-0.9289998,7.1020823,10.150537,7.2947063,1.2055537,4.4030185
2022-01-12,43949.1015625,33499938689,-1.6300000000000007e-06,0.027993907251911834,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.853608,5.711855,10.273591,-0.41520843,1.3389417,5.0177164,6.1279902
2022-01-13,42591.5703125,47691135082,-1.1956666666666669e-05,-0.03137582795207003,,,,31.37840824369806,,-850.630707677883,,,,,,,,,,,,,,,,,,,,,,11.355482,10.465294,0.52056664,6.471508,5.6750073,4.1761065,2.5023549
2022-01-14,43099.69921875,23577403399,-5.077666666666666e-05,0.011859664695822615,-0.10113887376281207,,0.2509391664544581,36.4898524882698,-9.61924909795554,-702.8355949273973,,,0.023128620338695387,,,,,,,,,,,,,,,,,,,4.8148913,-1.2336396,1.7680663,9.746195,0.9385874,3.3948207,7.443405
2022-01-15,43177.3984375,18371348298,4.9810000000000006e-05,0.0018011556222094572,-0.092148663740581,,0.38903527349206235,37.26396619238371,-8.803043733956768,-572.561735669864,,,0.02328165854031604,,,,,,,,,,,,,,,,,,,1.6955081,3.1893091,-0.9713459,0.9855039,5.491658,8.028448,1.1820301
2022-01-16,43113.87890625,17902097845,3.453333333333333e-05,-0.0014722123644015362,-0.0747062394092188,,0.5556737164947313,36.86600524724574,-7.198393916294565,-478.5065819899464,,,0.023044711625653434,,,,,,,,,,,,,,,,,,,1.541733,3.64508,-0.8292093,0.3223455,6.508512,7.4335785,0.81817275
2022-01-17,42250.55078125,21690904261,6.132666666666667e-05,-0.02022757169904886,-0.08279487644440667,,1.0889532779955382,31.85664641110222,-7.9460047716642155,-524.7235024108231,,,0.023339001845976873,,,,,,,,,,,,,,,,,,,2.9034438,0.5284659,0.35864437,7.711269,0.4081672,5.2176976,6.096042
2022-01-18,42375.6328125,22417209227,9.999333333333336e-05,0.002956109256612036,-0.02777247873298187,,1.0020708360093953,33.279616394153166,-2.739036899530334,-513.7334287180565,,,0.01893480863225371,,,,,,,,,,,,,,,,,,,3.5470996,0.121785246,0.6323741,8.59449,0.5325887,4.2940516,6.5662146
2022-01-19,41744.328125,23091543258,8.324333333333332e-05,-0.01500991044287061,-0.033372091872262734,,1.1103839677142409,29.869237957528142,-3.2821386674399355,-576.2224847237885,,,0.01917622241077102,,,,,,,,,,,,,,,,,,,4.3634825,-0.7105678,1.295471,9.423047,0.7261221,3.7051954,7.099091
2022-01-20,40680.41796875,20382033940,0.0001,-0.02581674309560386,-0.02134084631749136,,0.7409360727923597,25.161714075334004,-2.111474173411852,-742.948970529389,,,0.01755325184490496,,,,,,,,,,,,,,,,,,,2.282304,1.2803,0.44673598,5.2613907,0.85242593,7.538345,5.237045
2022-01-21,36457.31640625,43011992031,7.583e-05,-0.10960468291543993,-0.135172577565528,,0.4556419311689282,14.997470232652816,-12.643485906676865,-1418.0021862561116,-805.3897477440853,-612.6124385120263,0.034547361116658064,,,,,,,,,,,,,,,,,,,10.860692,9.72509,1.6975498,5.0942173,3.7043467,2.4347377,2.1975741
2022-01-22,35030.25,39714385405,4.357e-05,-0.039930188839646726,-0.1793507016112876,,0.0,13.065363505519784,-16.41872728780907,-1977.2890626446679,-1039.7696107242018,-937.519451920466,0.03515414516637182,,,,,,,,,,,,,,,,,,,10.843595,8.377114,4.579273,2.3592958,1.3664035,1.385141,2.7910762
2022-01-23,36276.8046875,26017975951,2.3903333333333332e-05,0.034966573781181565,-0.14222631606390496,,0.0,22.51199246324464,-13.257507792416071,-2060.9246821113484,-1244.000625001631,-816.9240571097173,0.037601093459044686,,,,,,,,,,,,,,,,,,,5.951057,-1.2314125,6.450755,10.262728,6.593272,0.6674039,5.0539947
