datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-02-24,30.31999969482422,0,-0.022824621796435525,0.26679360401055835,,0.17953582675676635,61.723492276169495,30.57709126367767,1.584124190859331,0.9270565163017408,0.6570676745575903,0.09016107965341912,0.42966725387588534,,0.10840619791094262,60.77167405767894,53.67460921586799,1.970284718871742,,,0.0841362107677743,,,,,,,,,,10.87897,1.9300894,-0.21381205,4.1751976,4.883028,3.5385692,4.8114133
2022-02-25,27.59000015258789,0,-0.09435415694926126,0.18806470869353786,,0.2342543279443955,54.26037823368162,20.691161049639142,1.1796950576147651,0.9775842245643457,0.20211083305041944,0.09528967013438801,0.34141372242698514,,0.12172080239448549,56.6488062950028,40.693520111488,1.9076371921888189,,,0.08607092615443752,,,,,,,,,,10.876584,1.8555226,-0.13124406,4.32443,4.9062862,3.5804749,4.8809547
2022-02-28,30.149999618530277,0,0.08873151676105362,0.3409265494087942,,0.4380541799888822,59.2640297925927,40.62499471787211,1.2496487749419138,1.0319971346398593,0.21765164030205453,0.09420803228484971,0.4744579547421958,,0.16660238237244063,59.31547885420991,60.71428172006649,1.981179317561363,,,0.08654791083849343,,,,,,,,,,10.906187,1.9739052,-0.26064897,4.204012,4.8550367,3.504225,4.769098
2022-03-01,33.31999969482422,0,0.09997289761890603,0.5124275831244914,,0.7763406310763878,64.47700405208695,66.93387386347435,1.6943286627784069,1.1644634402675689,0.529865222510838,0.09134292894816066,0.5408847617338105,,0.16042726380948635,62.27601627767188,71.75257912375416,2.2013150755303315,,,0.0877450479741808,,,,,,,,,,10.880162,1.9424754,-0.23010048,4.1432223,4.875389,3.5266893,4.800504
2022-03-02,30.739999771118164,0,-0.08059307747498817,0.25126795557624365,,0.6162043119983971,57.9395971921398,28.56545364823705,1.528853965708926,1.2373415453558403,0.29151242035308567,0.08629183390868367,0.5126707437080458,,0.15301728699541367,58.694521590590966,66.97447053721339,2.2325951112438105,,,0.08854023697977347,,,,,,,,,,10.845563,1.9572664,-0.24290773,4.1482315,4.8616605,3.515217,4.78472
2022-03-03,30.479999542236328,0,-0.008494014864764431,0.10798860073743172,,0.6091025727999714,57.30527282804496,11.403504613608556,1.327997834164531,1.2554728031175786,0.07252503104695252,0.07917279085032614,0.5480360476623286,,0.22391008492687833,58.34612450251543,72.985233203669,2.230603794783107,2.0002876938676026,0.23031610091550458,0.08803314381625618,,,,,,,,,,10.873991,1.9475067,-0.23236853,4.1584435,4.8786144,3.5306242,4.794107
2022-03-04,31.979999542236328,0,0.04803997729179485,0.12118938194236625,,0.5800915561334146,60.03956997527924,12.883867378608855,1.3651064134571662,1.2773995251854962,0.08770688827167006,0.07962480873700341,0.45399734379475776,,0.20646646170362937,59.765691824298834,57.45938150251181,2.2957246991158335,2.059375094917249,0.23634960419858464,0.08539347281659154,,,,,,,,,,10.872594,1.9199107,-0.20391814,4.2013373,4.897572,3.5530257,4.820949
2022-03-07,36.45000076293945,0,0.13083078629404346,0.3494504577982568,,0.5576948635536559,66.88596637893787,41.82879253257447,1.9706789256364878,1.4160554052756944,0.5546235203607934,0.07928934609035393,0.6415521415361867,,0.23044604293104118,63.57686960018521,89.94267716798394,2.5769643502191997,2.162892945977639,0.4140714042415605,0.08677612677400247,,,,,,,,,,10.917527,1.9161617,-0.20452149,4.100781,4.9157467,3.5650737,4.8264775
2022-03-08,35.130001068115234,0,-0.03688598270340872,0.3689907159767681,,0.5638958585786981,63.41043726253271,44.62741763693569,2.0724303470719363,1.5473303936349427,0.5250999534369936,0.07774872629402245,0.4327336132524622,,0.12151217533651816,61.795911994793144,54.14655400114692,2.7250702053901144,2.275328397860134,0.44974180752998016,0.082918527591555,,,,,,,,,,10.898572,1.9279994,-0.21622147,4.1201954,4.8955083,3.5462751,4.81518
2022-03-09,32.45000076293945,0,-0.07935503002105185,0.14357506002992068,,0.39954782050715776,56.90657289771285,15.439345636263276,1.66728095549416,1.5713205060067863,0.09596044948737381,0.07438055688258162,0.30791623333244206,,0.13358542463467132,58.37525727613813,36.058701232355126,2.6872600471880617,2.3577147277257198,0.3295453194623419,0.08417879743449465,,,,,,,,,,10.872048,1.8517033,-0.12448419,4.3665786,4.905339,3.580751,4.8826036
2022-03-10,30.229999542236328,0,-0.07086567301265848,0.085598953456228,,0.6557041966338364,52.11018985226747,8.93693528733812,1.0340349921626597,1.4638634032379612,-0.42982841107530145,0.07760340255552498,0.1666331375141804,,0.15843349283289884,55.74187207945963,18.13208035162594,2.518699975404978,2.3899117772615717,0.12878819814340625,0.08454433542546745,,,,,,,,,,10.869642,1.788606,-0.04560751,4.6251307,4.9087486,3.6222866,4.9380193
