datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-01-03,16.600000381469727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.93288074801058,11.130134191022151,-68.59862576327005,-20.796631321796273,-31.030065804900715,2.350733724787836,-1.3049978820692143
2022-01-04,16.90999984741211,0,0.018502435544357602,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.90911103013049,11.145569523253993,-68.62078108502195,-20.803577088455423,-30.96424961792686,2.434904231863591,-1.0165155414628995
2022-01-05,19.729999542236328,0,0.1542351429461621,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.692898851283697,11.285966090350167,-68.822334578948,-20.866750373140224,-30.365555455928497,3.2006208478285654,1.6077397030639275
2022-01-06,19.61000061035156,0,-0.006100625500360934,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.702174843893378,11.279918803387954,-68.8138110872429,-20.864010518061644,-30.391134978859878,3.1682048318780316,1.496033702158904
2022-01-07,18.76000022888184,0,-0.04431271555415718,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.76734389778464,11.237601941288869,-68.75305818469937,-20.84496981698355,-30.571590733086943,2.937400671364122,0.7050349788447505
2022-01-10,19.399999618530277,0,0.03354609062729154,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.718251506561543,11.269487194488573,-68.79878459364272,-20.859322729720823,-30.435685516605687,3.1111292237693133,1.3006212599720932
2022-01-11,18.40999984741211,0,-0.052379059449223685,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.794174482836024,11.220180962398082,-68.72803962937184,-20.837132085936997,-30.64589096140973,2.842355298911234,0.37933122653721085
2022-01-12,17.6200008392334,0,-0.04385931881904721,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.854721739145795,11.180872042776606,-68.67156011291593,-20.819450180788927,-30.81357891780173,2.627795874518344,-0.3558206275968523
2022-01-13,20.309999465942383,0,0.1420786811593658,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.648449270171227,11.314823047950354,-68.86380263009171,-20.87973006734913,-30.242446588749356,3.3581520566501073,2.1474706552513005
2022-01-14,19.190000534057617,0,-0.056724011447385425,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.73439153171502,11.258994304972557,-68.7838029350778,-20.854591565963585,-30.480322562993496,3.054194829290455,1.1051798729152296
2022-01-18,22.790000915527344,0,0.17193254558031584,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.45834885276042,11.438250166542153,-69.04108626878067,-20.935256837843546,-29.715994930375867,4.031645636732521,4.455306763754933
2022-01-19,23.850000381469727,0,0.04546234989896832,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.377164404918304,11.4909394731002,-69.11690854782545,-20.95894349776105,-29.49107269126958,4.319660296747446,5.441686588729059
2022-01-20,25.59000015258789,0,0.07041742280560326,,,,78.97344767658565,,1.8635485253026864,,,,,,,,,,,,,,,,,,,,,,-2.3495399148808964,28.46298419098689,-45.75953220092005,-21.80794204260162,34.968563785720875,-26.407480705778084,1.053343866202134
2022-01-21,28.850000381469727,0,0.11990835004213829,0.552707287834028,,0.06591094483711628,83.74575154329995,73.79517902707067,2.5171261934059608,,,0.08306299989586541,,,,,,,,,,,,,,,,,,,30.592633386749696,76.17036424346334,-22.76988264289121,-54.9886483231526,14.179676471785903,-19.79166196649189,3.119515959465179
2022-01-24,29.899999618530277,0,0.035748461461826586,0.5699533137514969,,0.0,84.93853268294005,76.81844996057848,2.96453583250209,,,0.0827847684924901,,,,,,,,,,,,,,,,,,,32.23266424830329,78.39332868170703,-21.594871008152758,-56.384318508489415,14.334463035774043,-19.668049342999772,3.982463287850454
2022-01-25,31.15999984741211,0,0.04127674846717597,0.4569949192725107,,0.0,86.25022839946675,57.932086013014825,3.2974586714827545,,,0.07587180456296783,,,,,,,,,,,,,,,,,,,24.511898065798555,66.84059583211865,-26.872034119981933,-47.97120769909562,22.15832453666068,-21.795673658552083,5.211655117311839
2022-01-26,31.959999084472656,0,0.0253498761464045,0.4884454209192763,,0.0,87.02732736439168,62.978062670747114,3.480984436500677,,,0.07494247375849897,,,,,,,,,,,,,,,,,,,26.907267102075338,70.23096404586809,-25.20647403906961,-50.259288536658815,21.22605166689781,-21.365391676759376,5.856149184409638
2022-01-27,30.489999771118164,0,-0.047086338758656796,0.48567179771477664,,0.0,78.2264834380059,62.52664924906279,3.2412662504609777,,,0.07519853301339119,,,,,,,,,,,,,,,,,,,24.717625123080836,67.99074801824766,-27.85179089597961,-49.93347786065953,13.926597566383705,-18.33405168104705,5.161258493963519
2022-01-28,27.65999984741211,0,-0.09741143277332177,0.3547142743141634,,0.04036048175023226,64.60132666774996,42.577321604646514,2.557917729072095,,,0.08400755885953208,,,,,,,,,,,,,,,,,,,13.020411232429737,52.35435873003581,-37.59604347337688,-40.79039083170858,9.12101110207334,-15.777205435142776,3.72691581789514
2022-01-31,24.82999992370605,0,-0.10793472427263467,0.2991586094907524,,0.14812654871337314,54.34663780627525,34.87235268606697,1.630850574668969,,,0.08962324486458643,,,,,,,,,,,,,,,,,,,7.292010579610764,45.14794951418986,-42.72280025107979,-37.161273116456655,2.841171375811207,-13.285835488978911,1.9344385710984966
2022-02-01,21.959999084472656,0,-0.12283002149677473,0.220187906813025,,0.2574643740447084,46.27621026003822,24.631089889483114,0.5866929898513078,2.112512862043164,-1.5258198721918563,0.09691333971818628,,,,,,,,,,,,,,,,,,,0.956410687917419,36.82170885731284,-47.96758132999312,-32.39824419788698,-0.8032527331316857,-11.917505743839218,-0.04583367068655164
2022-02-02,22.09000015258789,0,0.005902449388932326,0.08401167504259151,,0.2087197952879112,46.66486526186387,8.76415919966109,-0.05796223560636449,1.6784178425132585,-1.736380078119623,0.08932214716785963,,,,,,,,,,,,,,,,,,,-5.775792419364182,26.887544119894457,-52.55503818902328,-25.28888696040417,4.988027347555409,-13.67455352599082,0.17421226072022833
2022-02-03,24.350000381469727,0,0.09740684085512573,0.23814252734510272,,0.28565661737008247,53.060190194138066,26.8890031464791,-0.12742612724604996,1.317249048561397,-1.444675175807447,0.09045823159527511,,,,,,,,,,,,,,,,,,,3.535052590110535,39.78299294078128,-45.45792928949104,-33.52296182130054,4.428099365151411,-13.716620959542475,1.6419477274951007
2022-02-04,23.21999931335449,0,-0.047517918496258305,0.01869206326852858,,0.22228904631781457,49.82409621787885,1.8867853468763014,-0.32618269809309197,0.9885626992304993,-1.3147453973235912,0.07917545228361643,,,,,,,,,,,,,,,,,,,-7.97689493891769,23.269722170776987,-53.72468862773429,-22.266514445929065,10.15239047786961,-15.327826478570085,1.042168904089177
2022-02-07,22.86000061035156,0,-0.015625261632240678,-0.04239554826268041,,0.17853687419688735,48.7969571402121,-4.150942370161757,-0.4859852011593304,0.6936531191525335,-1.1796383203118639,0.07815101123439507,,,,,,,,,,,,,,,,,,,-10.820151341610083,19.22025189298536,-55.78725846318936,-19.543736492840097,11.316105846782001,-15.644404746126728,0.8349400037778736
2022-02-08,21.440000534057617,0,-0.06413032395420283,-0.17694329502248646,,0.12066092238520512,44.846328110383304,-16.217270784621657,-0.7668444914394534,0.40155359703413607,-1.1683980884735896,0.0764716356394918,,,,,,,,,,,,,,,,,,,-16.95817528453835,10.691044432893321,-60.42617219884096,-14.065239854368924,11.953680133649428,-15.71637728398532,-0.0870291413634412
2022-02-09,19.959999084472656,0,-0.07152813609679119,-0.3683797811614158,,0.054138894786653444,41.09014256764443,-30.814562147136375,-1.118928162309242,0.09745724516546045,-1.2163854074747025,0.0663845052300459,,,,,,,,,,,,,,,,,,,-24.146948632053714,0.6025987650406641,-65.75196659647266,-7.452190688427503,13.605701711503102,-16.142733739678036,-1.0591030115454156
2022-02-10,23.90999984741211,0,0.18056655007325953,-0.22356169254998295,,0.05373057513316449,52.57497919779474,-20.033444306152816,-0.7245332329398337,-0.06694085045559839,-0.6575923824842353,0.08698816869177406,,,,,,,,,,,,,,,,,,,-16.75878192201905,10.054627396742431,-59.42697993485645,-12.49435505989443,20.060008543406425,-18.494474049600875,1.6553763490631859
2022-02-11,27.36000061035156,0,0.1347853399740475,-0.13005310104311138,,0.26700196224567957,59.960909021488376,-12.195119562480187,0.0393630872140065,-0.045680062921677415,0.08504315013568392,0.09566005606439429,,,,,,,,,,,,,,,,,,,-11.537745740259242,16.76585613674763,-55.14824660536537,-16.171648346724428,24.096299526039594,-19.666403803658156,4.242546477056493
2022-02-14,28.32999992370605,0,0.034839196086860244,-0.12056378110265574,,0.4709967539048721,61.77420427012965,-11.357945133766266,0.6440193856562182,0.09225982679390171,0.5517595588623165,0.09598795345071741,,,,,,,,,,,,,,,,,,,-10.703130897735983,17.74844950483906,-54.42101427939729,-16.59742815113303,25.48970127610803,-20.032975797725367,5.002919896876431
2022-02-15,25.700000762939453,0,-0.09743028956184699,-0.17090773190584602,,0.5637081206658318,54.521523137953075,-15.710065740033446,0.6122164480355607,0.1962511510422335,0.41596529699332724,0.09862007425632542,,,,,,,,,,,,,,,,,,,-14.32063777569694,13.327865419834357,-57.67541926665437,-14.51487285689646,20.54241590601538,-18.331432018111,3.1435122324772635
2022-02-16,24.290000915527344,0,-0.05642624088191999,-0.12992254001444423,,0.6425950092477245,51.041062755865305,-12.183654918566694,0.3663282856564649,0.2302665779650798,0.13606170769138512,0.09633033085245161,,,,,,,,,,,,,,,,,,,-13.66386347356376,14.731124365284725,-57.571523978893005,-16.02203791257104,16.20625420148417,-16.974897441087233,2.0665869792907614
