datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-01-27,334.2945556640625,95255700,-0.010121539117489127,-0.10762719145976998,,0.0,12.192987313123226,-10.203769794898939,-11.257931808285946,,,0.014208806192825276,,,,,,,,,,,,,,,,,,,10.755508,-1.4468143,0.7761463,9.070349,3.7090023,3.814422,6.4485745
2022-01-28,344.7810363769531,108167900,0.03088703085590923,-0.07739795365780024,,0.0,29.75027254232066,-7.44785343419399,-9.416644763127579,,,0.017810347746634227,,,,,,,,,,,,,,,,,,,10.432492,-1.5342824,0.6848707,9.252106,3.2665596,3.4764912,7.021525
2022-01-31,355.8066101074219,94326400,0.03147781484351157,-0.06083037327335168,,0.15423804267375604,42.781813982544435,-5.901715792144701,-6.3298913550809175,,,0.019898077382877646,,,,,,,,,,,,,,,,,,,10.807215,-1.4320825,0.79716074,9.043017,3.7831168,3.8702772,6.3526793
2022-02-01,358.2273864746094,74433000,0.006780589309888504,-0.05800753998814725,,0.2986388232567741,45.19977378342306,-5.635716764579647,-3.8358542219814353,-7.9453615551671435,4.109507333185708,0.02001524199826424,,,,,,,,,,,,,,,,,,,11.107427,-0.96554893,2.5530674,5.8551016,5.8840814,6.3643928,4.2147403
2022-02-02,361.1380920410156,78777100,0.008092469094010912,-0.0245807046123377,,0.2666389849934748,48.05889075161355,-2.428105927808276,-1.736512152557168,-6.703591674645149,4.967079522087981,0.01924260817152406,,,,,,,,,,,,,,,,,,,11.198732,-1.0081859,1.4098238,7.262769,5.7101088,6.1328917,4.35752
2022-02-03,346.4961853027344,95384800,-0.04138860227566696,-0.07217260099677368,,0.36529420667301493,37.41964766553855,-6.962970088896599,-2.4720235970495423,-5.8572780591260285,3.385254462076486,0.021915872355706374,,,,,,,,,,,,,,,,,,,10.776816,-1.4246036,0.799981,9.072017,3.7345285,3.8362474,6.421389
2022-02-04,350.8672180175781,86318300,0.012536046305535687,-0.03442742763065074,,0.47594324298521484,41.60076786521063,-3.3841546449562854,-2.1970045590243785,-5.125223359105699,2.9282188000813205,0.021592491765808894,,,,,,,,,,,,,,,,,,,11.018329,-1.4057875,0.83462936,8.900053,4.263664,4.253479,5.774447
2022-02-07,348.0446472167969,58198100,-0.008077087502413448,-0.031460070187268624,,0.5575691171892935,39.74321762969153,-3.097035114634576,-2.342176300793028,-4.568613947443165,2.2264376466501368,0.021511871436039186,,,,,,,,,,,,,,,,,,,10.626671,8.0207815,10.047276,1.8475059,4.2980795,3.8844013,6.0208983
2022-02-08,351.9550476074219,64720900,0.011172693637141188,-0.0072137510350464016,,0.580428911611079,43.52775471534928,-0.7187794385486881,-1.7768292991011663,-4.010257017774766,2.2334277186735996,0.021562249712763513,,,,,,,,,,,,,,,,,,,10.478556,1.8028352,6.808084,0.58503234,6.877231,7.1062574,5.3012576
2022-02-09,359.4131774902344,55766400,0.02096917714329036,0.041875688545142564,,0.4688132659826545,50.014431847398264,4.276484307861342,-0.2927277107615396,-3.2667511563721208,2.974023445610581,0.02060994353109389,,,,,,,,,,,,,,,,,,,9.383878,9.399518,9.856522,4.506856,3.4590023,4.664249,3.3916733
