datetime,close,Volume,funding_rate,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-01-11,42735.85546875,26327648900,9.131333333333336e-05,0.021633410637439378,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2234465310.43985,2901.42806768417,-1142.324911751276,74.9215783479176,-89.76176050724871,-19.33158658493143,-8.364171338722961
2022-01-12,43949.1015625,33499938689,-1.6300000000000007e-06,0.027993907251911834,,,,,,,,,,,,,,,,,,,,,,,,,,,,4937824478.559677,36.4569539211152,-1479.8716032624798,32.433048847245516,-74.59518806059856,-7.139762363279608,-6.631633784278517
2022-01-13,42591.5703125,47691135082,-1.1956666666666669e-05,-0.03137582795207003,,,,31.37840824369806,,-850.630707677883,,,,,,,,,,,,,,,,,,,,,,19129020871.55661,-9381.773714214716,-1892.5285836846097,-632.7092689873922,-307.028831401147,-68.90820186748218,264.6370087033368
2022-01-14,43099.69921875,23577403399,-5.077666666666666e-05,0.011859664695822615,-0.10113887376281207,,0.2509391664544581,36.4898524882698,-9.61924909795554,-702.8355949273973,,,0.023128620338695387,,,,,,,,,,,,,,,,,,,-4984710811.439213,4813.270108345911,-1222.0621454752072,-351.77990296755763,-348.8310408533709,-106.24854114356968,209.25701038403506
2022-01-15,43177.3984375,18371348298,4.9810000000000006e-05,0.0018011556222094572,-0.092148663740581,,0.38903527349206235,37.26396619238371,-8.803043733956768,-572.561735669864,,,0.02328165854031604,,,,,,,,,,,,,,,,,,,-10190765912.438332,7847.643557707925,-1056.994437332448,-228.29466419490768,-323.1562350594166,-103.0469922052127,166.62870656009886
2022-01-16,43113.87890625,17902097845,3.453333333333333e-05,-0.0014722123644015362,-0.0747062394092188,,0.5556737164947313,36.86600524724574,-7.198393916294565,-478.5065819899464,,,0.023044711625653434,,,,,,,,,,,,,,,,,,,-10660016365.438286,8052.323506173485,-1020.4460895377197,-165.003869774625,-291.40472960584714,-93.2136529099953,137.15705005272585
2022-01-17,42250.55078125,21690904261,6.132666666666667e-05,-0.02022757169904886,-0.08279487644440667,,1.0889532779955382,31.85664641110222,-7.9460047716642155,-524.7235024108231,,,0.023339001845976873,,,,,,,,,,,,,,,,,,,-6871209949.439381,5042.665145410847,-1046.100696661987,-231.33188806894105,-285.6548605566707,-87.72610256315913,153.67009757745274
2022-01-18,42375.6328125,22417209227,9.999333333333336e-05,0.002956109256612036,-0.02777247873298187,,1.0020708360093953,33.279616394153166,-2.739036899530334,-513.7334287180565,,,0.01893480863225371,,,,,,,,,,,,,,,,,,,-6144904983.43943,4754.924692625951,-1078.621205533982,-228.52002698527804,-280.2675912764589,-85.22577582696384,150.3839659445619
2022-01-19,41744.328125,23091543258,8.324333333333332e-05,-0.01500991044287061,-0.033372091872262734,,1.1103839677142409,29.869237957528142,-3.2821386674399355,-576.2224847237885,,,0.01917622241077102,,,,,,,,,,,,,,,,,,,-5470570952.439896,3743.5395317368057,-1041.5158441671938,-279.6701405733461,-293.8103824674834,-89.03819632608834,170.6390242613436
2022-01-20,40680.41796875,20382033940,0.0001,-0.02581674309560386,-0.02134084631749136,,0.7409360727923597,25.161714075334004,-2.111474173411852,-742.948970529389,,,0.01755325184490496,,,,,,,,,,,,,,,,,,,-8180080270.440056,4221.183701861413,-877.9902557780142,-376.3425628901498,-352.2503366880574,-110.80446018621454,222.50669336505695
