datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-02-07,116.28851318359376,509700,-0.0024980307008983793,-0.0028304952737625167,,0.6715925064440685,48.40133157967651,-0.2826493198856929,-0.030328758952876456,-0.9138461608740157,0.8835174019211393,0.01631339530651357,,,,,,,,,,,,,,,,,,,-0.00754243,4.571575,10.586531,-0.51351225,0.043612495,6.6636157,2.6893387
2022-02-08,118.8479232788086,649800,0.021770434385628708,0.01844128593600166,,0.7166111102035797,55.56274526459153,1.8612376541522666,0.4806144231084062,-0.6349540440775313,1.1155684671859376,0.01742049023744351,,,,,,,,,,,,,,,,,,,4.146042,-2.1620824,7.220027,9.187862,8.5329685,6.5305777,5.655653
2022-02-09,117.5973129272461,739400,-0.01057853424421538,0.026819904854593832,,0.29665532301765307,51.75998737424295,2.7182795469622945,0.5951612425917574,-0.38893098674367355,0.984092229335431,0.016745751303383353,,,,,,,,,,,,,,,,,,,5.321675,-0.5741658,0.27555045,8.393955,2.015291,3.8065016,4.071339
2022-02-10,117.40341186523438,769300,-0.0016502170892096451,0.0250849908544953,,0.33447469411449665,51.171732711309616,2.5402266635907864,0.6132995010659386,-0.1884848891817511,0.8017843902476897,0.016769727803685807,,,,,,,,,,,,,,,,,,,6.310448,0.3459352,-1.1209695,6.930643,1.2302216,1.4364761,5.191849
2022-02-11,116.61813354492188,711600,-0.006711187778441283,0.03968301352488213,,0.319827752101522,48.74135197454464,4.048090353884218,0.4871893073905511,-0.053350049867290666,0.5405393572578417,0.01552662562356029,,,,,,,,,,,,,,,,,,,4.6120214,-1.5045552,2.1590679,9.9030075,3.5702047,5.968326,3.7980235
2022-02-14,116.8992919921875,584500,0.002408030856623878,0.04868657491321153,,0.468058931002032,49.66855161490609,4.989123691440929,0.430259199345997,0.04337179997536686,0.3868873993706301,0.015258898151873871,,,,,,,,,,,,,,,,,,,2.419099,2.4569488,10.451974,2.0913851,8.231207,0.9107086,5.0466676
2022-02-15,118.09172821044922,551900,0.010148868260977993,0.0597065849925905,,0.73057844068564,53.5306130577239,6.15250334707277,0.5481904623623848,0.14433553245277045,0.40385492990961436,0.015287151960394214,,,,,,,,,,,,,,,,,,,1.301424,3.0529442,10.111702,0.9292119,4.4067254,1.9705088,2.7222137
2022-02-16,117.51974487304688,491700,-0.004855319255751487,0.041262201039201064,,1.0479321468704734,51.477978847298125,4.212531606672341,0.516306250198113,0.21872967600183896,0.2975765741962741,0.015238465625491712,,,,,,,,,,,,,,,,,,,-2.1655104,9.229054,2.446432,4.9075313,3.8773844,9.341264,9.984769
2022-02-17,114.8149185180664,599000,-0.02328493324919686,-0.0008440175801894554,,1.180181471165942,43.02599942532626,-0.08436614975386622,0.08930781447999436,0.19284530369747005,-0.10353748921747569,0.016086716610569034,,,,,,,,,,,,,,,,,,,2.4353545,1.3745584,11.454972,2.4477687,9.787853,2.014206,6.722164
2022-02-18,115.1833038330078,651100,0.003203378062622965,-0.0006730723675761948,,1.8387030449737378,44.37354467240906,-0.06728459051816152,-0.12313854257946844,0.12964853444208235,-0.2527870770215508,0.016089529066294163,,,,42.60178539114941,,-1.0434509689545308,,,,,,,,,,,,,4.145892,-2.1599755,7.2077804,9.186228,8.520642,6.5332146,5.644998
