Feature,Importance
ETH-USD_MR_Strength_55,29
BTC-USD_MR_Strength_55,17
QQQ_MACD_Diff_34,16
SPX_Volume,16
SPX_log_returns_55,16
ETH-USD_MR_Strength_13,16
QQQ_MR_Strength_13,15
ETH-USD_RSI_13,14
ETH-USD_Volume,13
SPX_log_returns_13,13
SPX_MR_Strength_13,13
BTC-USD_MACD_Diff_13,12
BTC-USD_Volume,12
TNX_MACD_Diff_13,11
ETH-USD_log_returns_55,10
VIX_RSI_13,10
MDY_log_returns_34,10
CBOE_MACD_13,10
ETH-USD_log_returns_13,10
TNX_log_returns_13,10
BTC-USD_MACD_Diff_34,9
MDY_Volume,9
TNX_Volatility_13,8
VIX_RSI_55,8
TNX_MR_Strength_13,8
SPX_MACD_Diff_55,8
SPX_RSI_55,7
MDY_RSI_13,7
BTC-USD_log_returns_13,7
VIX_MR_Strength_13,7
SPX_RSI_34,6
CBOE_RSI_34,6
BTC-USD_Volatility_13,6
ETH-USD_MR_Strength_34,6
ETH-USD_Volatility_13,6
VIX_log_returns_13,6
MDY_MACD_Diff_13,6
SPX_log_returns_34,6
VIX_MACD_Diff_13,6
BTC-USD_log_returns_55,5
VIX_MACD_13,5
VIX_Volatility_13,5
ETH-USD_funding_rate,5
BTC-USD_RSI_13,5
QQQ_MACD_Diff_13,5
pca_1,5
SPX_Volatility_34,5
SPX_MR_Strength_34,5
SPX_MR_Strength_55,5
SPX_MACD_Signal_13,5
VIX_RSI_34,4
MDY_MACD_13,4
MDY_Volatility_13,4
MDY_MR_Strength_34,4
CBOE_Volume,4
QQQ_MR_Strength_34,4
BTC-USD_MR_Strength_34,4
CBOE_MACD_Diff_34,4
QQQ_log_returns_13,4
BTC-USD_MACD_13,4
CBOE_MR_Strength_13,4
MDY_MACD_Diff_55,4
MDY_MACD_Signal_55,4
TNX_MR_Strength_34,3
CBOE_Volatility_13,3
CBOE_MR_Strength_34,3
TNX_log_returns_34,3
SPX_RSI_13,3
VIX_MACD_Diff_34,3
ETH-USD_MACD_34,3
VIX_MACD_Signal_13,3
MDY_log_returns_13,3
ETH-USD_MACD_Diff_34,3
SPX_MACD_Diff_34,3
QQQ_MR_Strength_55,3
BTC-USD_MACD_55,3
TNX_RSI_13,3
QQQ_log_returns_34,3
MDY_log_returns_55,3
ETH-USD_log_returns_34,3
MDY_RSI_34,3
VIX_MACD_Diff_55,2
SPX_Volatility_55,2
BTC-USD_close,2
SPX_MACD_13,2
TNX_close,2
BTC-USD_RSI_34,2
TNX_MACD_Signal_13,2
ETH-USD_MACD_Diff_13,2
ETH-USD_MACD_13,2
CBOE_RSI_13,2
QQQ_Volume,2
QQQ_RSI_13,2
CBOE_MACD_Diff_13,2
QQQ_MACD_13,2
QQQ_MACD_Signal_13,2
QQQ_Volatility_13,2
QQQ_MACD_Signal_34,2
MDY_MACD_Diff_34,2
QQQ_MACD_55,2
QQQ_Volatility_55,2
CBOE_MR_Strength_55,2
