Feature,Correlation
BTC-USD_Momentum_13,0.2264818859921781
BTC-USD_log_returns_13,0.21929395746822158
BTC-USD_RSI_13,0.19941937346735067
BTC-USD_MACD_Diff_13,0.1968779474127089
BTC-USD_MACD_Diff_34,0.18834423036608444
SPX_log_returns_13,0.18715091855391108
SPX_Momentum_13,0.18711257941171425
BTC-USD_MACD_13,0.16285419943950855
SPX_RSI_13,0.1614031890880648
ETH-USD_MACD_Diff_13,0.16041659635637545
BTC-USD_RSI_34,0.1543910856157983
BTC-USD_MACD_Diff_55,0.15375584269614756
SPX_MACD_Diff_13,0.1526389263687976
MDY_MACD_Diff_13,0.15080779563654576
ETH-USD_RSI_13,0.14830532713804434
ETH-USD_Momentum_13,0.1481943435028718
ETH-USD_log_returns_13,0.14415075867931276
SPX_RSI_34,0.13438415732207548
BTC-USD_RSI_55,0.13381250200620634
ETH-USD_RSI_34,0.11411338516928754
SPX_MR_Strength_34,0.10880157452508023
MDY_RSI_13,0.10663453190882176
BTC-USD_Momentum_34,0.10338744649250345
TNX_MR_Strength_34,0.10302675613324151
SPX_RSI_55,0.0975551720171157
SPX_MACD_13,0.09712204891821564
BTC-USD_log_returns_34,0.09682390145987552
SPX_Momentum_55,0.09419974194928873
SPX_log_returns_55,0.09412454500924268
ETH-USD_RSI_55,0.09345687338412917
SPX_MACD_Diff_34,0.09067366035592618
QQQ_Volume,0.0893369656284558
BTC-USD_MR_Strength_13,0.08728278647108731
BTC-USD_MACD_Signal_13,0.0846222598939151
ETH-USD_MACD_13,0.08323073608683196
CBOE_Volatility_34,0.0819846257141739
ETH-USD_MACD_Diff_34,0.08178851090795075
MDY_MACD_Diff_34,0.0747532812958729
ETH-USD_Momentum_34,0.07426828158674753
ETH-USD_log_returns_34,0.07302305696170315
TNX_Volatility_34,0.07253945270945379
MDY_MACD_13,0.0697605013405184
BTC-USD_funding_rate,0.06963780415407039
VIX_MR_Strength_13,0.06529509796186564
BTC-USD_Volatility_34,0.0648219256898402
VIX_MACD_Diff_13,0.06462057160726258
SPX_MACD_Diff_55,0.06444892007472157
CBOE_Volume,0.0643435843517834
SPX_log_returns_34,0.06365466486975627
SPX_Momentum_34,0.0636096486211385
TNX_Momentum_13,0.06322933275761457
TNX_log_returns_13,0.0626828037033775
CBOE_log_returns_13,0.06157252993058397
BTC-USD_Momentum_55,0.06127967623006392
ETH-USD_MACD_Diff_55,0.06010071505643938
CBOE_Momentum_13,0.05883240894535018
MDY_MACD_Signal_55,0.058544536844110456
BTC-USD_log_returns_55,0.057594673836782885
VIX_RSI_13,0.05432744200834861
CBOE_MACD_Signal_13,0.053733581946982564
MDY_Momentum_13,0.053723264768485206
CBOE_MACD_Diff_55,0.053166020269739336
MDY_log_returns_13,0.05268426876522742
SPX_MACD_Signal_34,0.052248399820479886
MDY_MACD_Diff_55,0.051470829511581793
BTC-USD_Volatility_55,0.05053374563597674
QQQ_Volatility_34,0.04956126809241396
MDY_RSI_34,0.04891825783730575
CBOE_MACD_Diff_34,0.0482159514674777
SPX_close,0.04735793833956419
TNX_RSI_55,0.04724205114934156
TNX_close,0.04714234625610156
BTC-USD_MR_Strength_34,0.04620732938023361
MDY_MACD_Signal_34,0.045943960932931405
MDY_MACD_55,0.04513100414733982
TNX_RSI_34,0.04451713714853247
BTC-USD_MACD_Signal_55,0.04433902022640106
VIX_Volatility_13,0.04401212089193618
SPX_MACD_Signal_55,0.04338295464775087
QQQ_Momentum_34,0.04313393427862051
ETH-USD_log_returns_55,0.04301574251163562
ETH-USD_Momentum_55,0.04259261437420085
SPX_MR_Strength_13,0.042201208886643506
QQQ_log_returns_34,0.04206435436760028
SPX_Volatility_55,0.041698523440170096
ETH-USD_MR_Strength_34,0.041491972364012496
CBOE_close,0.04105107655156481
MDY_Volume,0.03962543881388813
TNX_RSI_13,0.03905678908466603
QQQ_RSI_13,0.037648734851897625
QQQ_MR_Strength_34,0.03658502107570815
