Feature,Importance
TNX_MR_Strength_13,42
SPX_MR_Strength_13,29
QQQ_Volatility_13,28
SPX_MR_Strength_34,26
VIX_MR_Strength_13,26
MDY_MR_Strength_13,24
BTC-USD_MR_Strength_34,23
CBOE_Volume,22
QQQ_Volume,22
ETH-USD_MR_Strength_13,21
SPX_MACD_13,21
BTC-USD_Volatility_55,20
BTC-USD_RSI_13,20
VIX_log_returns_13,18
pca_1,18
BTC-USD_MACD_Diff_13,17
ETH-USD_MR_Strength_34,17
SPX_Volume,17
VIX_MACD_Diff_13,17
TNX_MR_Strength_34,17
ETH-USD_MACD_Signal_13,16
BTC-USD_Volatility_13,15
CBOE_MR_Strength_13,15
MDY_Volume,14
QQQ_MR_Strength_34,14
MDY_Volatility_34,14
BTC-USD_Volume,14
CBOE_Volatility_34,13
ETH-USD_MR_Strength_55,13
BTC-USD_MR_Strength_13,13
VIX_RSI_55,13
ETH-USD_funding_rate,12
TNX_close,12
CBOE_Volatility_55,12
TNX_log_returns_13,12
BTC-USD_MACD_Diff_34,12
VIX_Volatility_34,12
VIX_RSI_13,11
SPX_MACD_55,11
SPX_log_returns_34,10
SPX_Volatility_13,10
CBOE_RSI_34,10
MDY_RSI_13,10
CBOE_log_returns_13,9
CBOE_MACD_Signal_13,9
VIX_MR_Strength_55,9
ETH-USD_Volatility_13,9
MDY_MR_Strength_55,9
ETH-USD_MACD_Diff_13,9
MDY_MR_Strength_34,9
BTC-USD_log_returns_13,9
SPX_MACD_Signal_13,8
SPX_MACD_Diff_13,8
CBOE_MR_Strength_34,8
BTC-USD_MACD_Diff_55,8
QQQ_MACD_13,8
CBOE_RSI_13,8
MDY_MACD_Diff_34,8
SPX_log_returns_13,8
TNX_MR_Strength_55,8
QQQ_MR_Strength_13,8
ETH-USD_Volatility_34,7
BTC-USD_MACD_13,7
ETH-USD_RSI_13,7
BTC-USD_funding_rate,7
MDY_close,7
SPX_MACD_Diff_55,7
TNX_MACD_Diff_13,7
CBOE_MR_Strength_55,7
VIX_MACD_Signal_55,7
BTC-USD_Volatility_34,6
VIX_MR_Strength_34,6
VIX_log_returns_34,6
SPX_RSI_13,6
MDY_log_returns_34,6
VIX_Volatility_55,5
SPX_MACD_Diff_34,5
MDY_log_returns_13,5
VIX_log_returns_55,5
MDY_MACD_Diff_13,5
ETH-USD_Volume,5
MDY_MACD_Signal_34,5
ETH-USD_log_returns_34,5
ETH-USD_log_returns_13,5
CBOE_MACD_13,5
MDY_RSI_34,5
MDY_Volatility_55,5
TNX_Volatility_13,5
MDY_Volatility_13,5
CBOE_log_returns_55,4
ETH-USD_RSI_34,4
BTC-USD_log_returns_55,4
TNX_log_returns_55,4
TNX_MACD_Signal_34,4
TNX_log_returns_34,4
BTC-USD_MACD_Signal_13,4
ETH-USD_close,4
CBOE_MACD_Diff_13,4
BTC-USD_MACD_34,4
QQQ_log_returns_13,4
SPX_Volatility_55,4
QQQ_MACD_Signal_13,4
QQQ_RSI_34,4
QQQ_MR_Strength_55,4
VIX_close,4
VIX_RSI_34,4
QQQ_MACD_Diff_34,4
MDY_log_returns_55,4
MDY_MACD_Diff_55,3
BTC-USD_MR_Strength_55,3
QQQ_MACD_Signal_34,3
