Feature,Correlation
pca_2,0.1925400566070003
pca_5,0.11083130671655453
pca_1,0.10315402589541998
pca_10,0.09912785196184326
pca_3,0.06745588744992179
pca_9,0.06671908010026294
pca_7,0.04563053925909912
pca_8,0.022804082878132483
pca_6,0.01765295025467473
pca_4,0.0022347858718097724
