Feature,Correlation
pca_1,0.38214480690571306
pca_8,0.2545733265588359
pca_2,0.23516691597521447
pca_3,0.17223350853232536
pca_7,0.14134025059250868
pca_4,0.13568229925059092
pca_9,0.13504581045149447
pca_10,0.08945842895259369
pca_6,0.038798631975766225
pca_5,0.019066903239704024
