Feature,Importance
SPX_log_returns_55,28
TNX_MACD_Diff_13,27
CBOE_Volume,22
QQQ_Volume,18
MDY_Volume,18
SPX_Volume,18
SPX_log_returns_13,15
SPX_MR_Strength_13,14
SPX_Volatility_34,14
QQQ_MACD_Diff_34,13
MDY_MACD_13,13
ETH-USD_funding_rate,12
ETH-USD_Volume,12
VIX_MR_Strength_34,12
TNX_Volatility_13,12
CBOE_MR_Strength_55,12
VIX_MR_Strength_13,12
MDY_RSI_13,11
MDY_log_returns_34,11
MDY_MACD_Diff_13,11
QQQ_log_returns_13,10
SPX_MR_Strength_55,10
CBOE_MR_Strength_34,10
QQQ_log_returns_34,10
MDY_Volatility_34,10
MDY_MACD_Diff_55,10
SPX_RSI_13,10
QQQ_RSI_55,9
VIX_Volatility_34,9
ETH-USD_MR_Strength_55,9
TNX_log_returns_13,9
MDY_log_returns_13,9
SPX_MR_Strength_34,8
BTC-USD_RSI_13,8
QQQ_RSI_34,8
ETH-USD_RSI_13,8
CBOE_RSI_55,8
TNX_MR_Strength_34,7
CBOE_MACD_Diff_13,7
CBOE_log_returns_34,7
QQQ_MACD_Diff_13,7
ETH-USD_Volatility_13,7
BTC-USD_MR_Strength_13,7
SPX_MACD_13,7
TNX_MACD_13,7
ETH-USD_MACD_Diff_13,7
CBOE_MR_Strength_13,7
QQQ_MR_Strength_55,6
VIX_Volatility_13,6
QQQ_log_returns_55,6
ETH-USD_MR_Strength_34,6
ETH-USD_log_returns_13,6
SPX_RSI_34,6
MDY_Volatility_13,6
SPX_MACD_Diff_13,6
BTC-USD_MACD_Diff_13,6
CBOE_Volatility_13,6
BTC-USD_Volume,6
BTC-USD_Volatility_55,5
VIX_log_returns_55,5
VIX_close,5
ETH-USD_log_returns_55,5
ETH-USD_MR_Strength_13,5
VIX_log_returns_34,5
VIX_MACD_Diff_34,5
VIX_RSI_13,5
BTC-USD_MACD_Diff_34,5
CBOE_MACD_Signal_55,5
TNX_RSI_13,5
MDY_MR_Strength_55,5
CBOE_Volatility_55,5
MDY_MR_Strength_34,5
QQQ_MR_Strength_13,5
QQQ_MACD_13,5
QQQ_MR_Strength_34,5
TNX_MACD_Diff_34,5
TNX_MACD_Signal_13,5
MDY_MR_Strength_13,4
TNX_MR_Strength_13,4
