Feature,Correlation
ETH-USD_MR_Strength_55,0.16027374222715002
BTC-USD_MR_Strength_34,0.11846606093830972
MDY_MR_Strength_13,0.09901084303542855
TNX_MACD_Diff_13,0.0972457344912278
VIX_MR_Strength_55,0.09524831905879631
ETH-USD_MACD_Diff_55,0.09402971156480143
MDY_Volume,0.09307528346841817
VIX_MR_Strength_34,0.08577787096684565
ETH-USD_MACD_Signal_13,0.08189900330373993
ETH-USD_Momentum_13,0.0754502064972036
ETH-USD_MACD_13,0.07521092118652821
ETH-USD_log_returns_13,0.0749912934346448
SPX_MACD_Diff_55,0.07470178124669911
QQQ_Volume,0.07376118646989065
MDY_MR_Strength_34,0.06926870291076635
BTC-USD_MACD_Signal_13,0.06923557703471293
SPX_MACD_Diff_34,0.06871093451296323
VIX_Volatility_34,0.06826044706859406
BTC-USD_MACD_Diff_55,0.06822702505692009
ETH-USD_MACD_Diff_34,0.06767917331524743
QQQ_MR_Strength_13,0.06706873684924243
CBOE_Volume,0.06653098245676672
CBOE_Volatility_34,0.06529787910056181
ETH-USD_Volatility_55,0.06377753419639434
VIX_log_returns_13,0.06374328840686778
ETH-USD_Momentum_34,0.0633197069433888
BTC-USD_MR_Strength_55,0.0631829595486256
ETH-USD_MR_Strength_34,0.06318210029035137
ETH-USD_MACD_34,0.06260719521837294
MDY_MR_Strength_55,0.05900979233467474
ETH-USD_RSI_13,0.05862528313177618
BTC-USD_MACD_34,0.05844207941305777
MDY_Volatility_34,0.05738236137567639
TNX_MR_Strength_13,0.057061113845344326
VIX_Momentum_13,0.056916134120673395
ETH-USD_log_returns_34,0.05675588030685765
QQQ_MR_Strength_34,0.056201248456558446
BTC-USD_Momentum_13,0.05483810407116279
CBOE_Volatility_55,0.05471394685251777
BTC-USD_Momentum_34,0.05459814996089466
QQQ_Volatility_13,0.054366823588228225
BTC-USD_log_returns_13,0.05358419007437816
BTC-USD_MACD_Signal_34,0.05241920664935894
BTC-USD_funding_rate,0.052308831255627304
ETH-USD_RSI_34,0.05097076820254394
BTC-USD_log_returns_34,0.05059560101309605
BTC-USD_Volatility_34,0.0488629377130334
ETH-USD_MACD_Signal_34,0.04740077327557953
BTC-USD_MACD_13,0.0465163370688641
SPX_MACD_Signal_55,0.046163180956623896
TNX_MACD_Signal_13,0.04375932639077013
VIX_log_returns_34,0.04360633098576505
VIX_MACD_Signal_13,0.043414835833911626
CBOE_MR_Strength_34,0.042706594805103644
SPX_MACD_55,0.04152159096712186
SPX_Volatility_13,0.04139145765452319
VIX_MACD_Diff_34,0.04094230365874757
SPX_RSI_55,0.04093434939322245
MDY_Volatility_55,0.04015029785566385
BTC-USD_Volatility_55,0.03921512240636077
ETH-USD_Momentum_55,0.0390539371656038
SPX_Momentum_55,0.03802263975418666
SPX_log_returns_55,0.03788867954837979
BTC-USD_Volatility_13,0.037253075405230325
BTC-USD_MACD_Diff_34,0.036286564832423165
TNX_MACD_Diff_55,0.03608780023771138
BTC-USD_RSI_34,0.03575811500218991
MDY_RSI_13,0.03543268458476431
MDY_Momentum_34,0.03481993891718744
SPX_MACD_Signal_34,0.034286471284038
VIX_Momentum_34,0.03426547500282116
SPX_RSI_34,0.03423535825172067
BTC-USD_close,0.03418815055841657
BTC-USD_MACD_55,0.03400325682006312
QQQ_Volatility_55,0.032923388012933735
ETH-USD_RSI_55,0.03246184911698402
MDY_log_returns_34,0.03224153642033864
ETH-USD_log_returns_55,0.0319983757065685
BTC-USD_RSI_13,0.031867697880673895
VIX_MACD_Diff_13,0.0318002466793514
CBOE_MACD_Diff_34,0.03143346189982686
ETH-USD_Volatility_13,0.031103337446401303
SPX_MR_Strength_34,0.030699056715707145
